Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Total Suspended Solids (TSS),84,mg/l,WCTMP,5/23/2001,Actual
,,,,,,Dissolved Dissolved Solids,480,mg/l,WCTMP,5/23/2001,Calculated
,,,,,,Total Copper,7.83,ug/l,WCTMP,5/23/2001,Actual
,,,,,,Total Hardness, carbonate,207,mg/l,WCTMP,5/23/2001
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.149,mg/l,WCTMP,5/23/2001
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.7,mg/l,WCTMP,5/23/2001
,,,,,,Total Phosphorus,0.22,mg/l,WCTMP,5/23/2001,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.043,mg/l,WCTMP,5/23/2001
,,,,,,Total Sulfate (SO4) as SO4,25,mg/l,WCTMP,5/23/2001,Actual
,,,,,,Total Total Organic Carbon (TOC),12,mg/l,WCTMP,5/23/2001,Actual
,,,,,,Total Zinc,28.8,ug/l,WCTMP,5/23/2001,Actual
,,,,,,Total Chloride,120,mg/l,WCTMP,5/23/2001,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.25,mg/l,WCTMP,5/23/2001
,,,,,,Total Specific conductivity,740,umho/cm,WCTMP,5/23/2001,Actual
,,,,,,Total Conductivity (Lab),938,umhos/cm      ,WCMP,5/21/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.39,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Temperature of Water,17.4,° C           ,WCMP,5/21/2010,Actual
,,,,,,Total Total Potassium,3.4,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Total Sulfate,24,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Total Calcium,75.6,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Total Nitrite,0.026,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.115,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Total Sodium,80.8,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Total Suspended Solids,16,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Turbidity                               ,14,NTU           ,WCMP,5/21/2010,Actual
,,,,,,Total Chloride                                ,147,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Hardness Ca2CO3,288,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total pH (Field),8.1,pH            ,WCMP,5/21/2010,Actual
,,,,,,Total Total Alkalinity,224,mg CaCO3/L,WCMP,5/21/2010,Actual
,,,,,,Total Total Ammonia,0.092,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Total Nitrate,1.36,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Total Organic Carbon,6,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.071,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Conductivity (Field),949,umhos/cm      ,WCMP,5/21/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),6.7,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total pH (Lab),8.1,pH            ,WCMP,5/21/2010,Actual
,,,,,,Total Total Dissolved Solids,610,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.85,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Total Magnesium,24,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Conductivity (Lab),1158,umhos/cm,WCMP,5/20/2013,Actual
,,,,,,Total Total Alkalinity,239.4752,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Total Ortho Phosphate,0.077728,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Dissolved Oxygen (Field),6.7,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.9269,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Total Sodium,108.4,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Total Suspended Solids,10,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total pH (Lab),7.8,pH,WCMP,5/20/2013,Actual
,,,,,,Total Temperature of Water,19.8,° C,WCMP,5/20/2013,Actual
,,,,,,Total Total Ammonia,0.070161,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Total Dissolved Solids,648,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Total Magnesium,25.92,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Total Nitrite,0.047748,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Total Organic Carbon,6.5,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Chloride,177.168,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Conductivity (Field),1130,umhos/cm,WCMP,5/20/2013,Actual
,,,,,,Total Nitrate + Nitrite,2.175989,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total pH (Field),7.9,pH,WCMP,5/20/2013,Actual
,,,,,,Total Total Calcium,84.55,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Total Phosphorus,0.1101,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Total Potassium,4.524,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Total Sulfate,47.21436,mg/L,WCMP,5/20/2013,Actual
,,,,,,Total Turbidity,3.72,NTU,WCMP,5/20/2013,Actual
,,,,,,Total Conductivity (Lab),723,umhos/cm,WCMP,5/18/2009,Actual
,,,,,,Total Dissolved Oxygen (Field),8.5,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Temperature of Water,13.7,C,WCMP,5/18/2009,Actual
,,,,,,Total Total Potassium,3.6,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Total Sulfate,19,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Hardness Ca2CO3,241,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Total Dissolved Solids,470,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Total Nitrite,0.023,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Total Organic Carbon,8.3,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Total Sodium,55.4,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total pH (Field),7.6,pH,WCMP,5/18/2009,Actual
,,,,,,Total Total Alkalinity,193,mg CaCO3/L,WCMP,5/18/2009,Actual
,,,,,,Total Total Calcium,66.2,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.86,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Total Ortho Phosphate,0.035,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Total Phosphorus,0.124,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Total Suspended Solids,31,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Turbidity,28,NTU,WCMP,5/18/2009,Actual
,,,,,,Total Conductivity (Field),725,umhos/cm,WCMP,5/18/2009,Actual
,,,,,,Total pH (Lab),8.11,pH,WCMP,5/18/2009,Actual
,,,,,,Total Total Ammonia,0.076,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Total Magnesium,18.4,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Total Nitrate,0.9,mg/L,WCMP,5/18/2009,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.28,mg/L,WCMP,5/17/2011,Actual
,,,,,,Total pH (Field),7.9,pH            ,WCMP,5/17/2011,Actual
,,,,,,Total Total Ammonia,0.083,mg/L,WCMP,5/17/2011,Actual
,,,,,,Total Total Dissolved Solids,380,mg/L          ,WCMP,5/17/2011,Actual
,,,,,,Total Total Nitrate,1.24,mg/L,WCMP,5/17/2011,Actual
,,,,,,Total Total Ortho Phosphate,0.062,mg/L,WCMP,5/17/2011,Actual
,,,,,,Total Total Phosphorus                        ,0.136,mg/L,WCMP,5/17/2011,Actual
,,,,,,Total Total Potassium,3.7,mg/L          ,WCMP,5/17/2011,Actual
,,,,,,Total Total Sodium,43.8,mg/L          ,WCMP,5/17/2011,Actual
,,,,,,Total Chloride                                ,76,mg/L          ,WCMP,5/17/2011,Actual
,,,,,,Total Conductivity (Field),577,umhos/cm      ,WCMP,5/17/2011,Actual
,,,,,,Total Dissolved Oxygen (Field),8.2,mg/L          ,WCMP,5/17/2011,Actual
,,,,,,Total Hardness Ca2CO3,180,mg/L          ,WCMP,5/17/2011,Actual
,,,,,,Total pH (Lab),7.89,pH            ,WCMP,5/17/2011,Actual
,,,,,,Total Temperature of Water,10.4,° C           ,WCMP,5/17/2011,Actual
,,,,,,Total Total Alkalinity,140,mg/L          ,WCMP,5/17/2011,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.99,mg/L,WCMP,5/17/2011,Actual
,,,,,,Total Total Sulfate,33,mg/L          ,WCMP,5/17/2011,Actual
,,,,,,Total Turbidity                               ,43,NTU           ,WCMP,5/17/2011,Actual
,,,,,,Total Conductivity (Lab),589,umhos/cm      ,WCMP,5/17/2011,Actual
,,,,,,Total Total Calcium,51.7,mg/L          ,WCMP,5/17/2011,Actual
,,,,,,Total Total Magnesium,12.4,mg/L          ,WCMP,5/17/2011,Actual
,,,,,,Total Total Nitrite,0.037,mg/L,WCMP,5/17/2011,Actual
,,,,,,Total Total Organic Carbon,9.8,mg/L          ,WCMP,5/17/2011,Actual
,,,,,,Total Total Suspended Solids,23,mg/L          ,WCMP,5/17/2011,Actual
,,,,,,Total Hardness Ca2CO3,214,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Total Nitrate,1.04,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Total Organic Carbon,12,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Total Potassium,4.1,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Conductivity (Field),730,umhos/cm,WCMP,5/17/2007,Actual
,,,,,,Total Temperature of Water,14.4,C,WCMP,5/17/2007,Actual
,,,,,,Total Total Dissolved Solids,470,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Total Kjeldahl Nitrogen,1.31,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Total Nitrite,0.042,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Total Sodium,59.1,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Total Sulfate,25,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Conductivity (Lab),725,umhos/cm,WCMP,5/17/2007,Actual
,,,,,,Total pH (Field),7.5,pH,WCMP,5/17/2007,Actual
,,,,,,Total Total Alkalinity,164,mg CaCO3/L,WCMP,5/17/2007,Actual
,,,,,,Total Total Calcium,59.8,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Total Phosphorus,0.26,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Dissolved Oxygen (Field),7.1,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total pH (Lab),7.98,pH,WCMP,5/17/2007,Actual
,,,,,,Total Total Ammonia,0.102,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Total Magnesium,15.7,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Total Ortho Phosphate,0.053,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Total Suspended Solids,81,mg/L,WCMP,5/17/2007,Actual
,,,,,,Total Turbidity,92,NTU,WCMP,5/17/2007,Actual
,,,,,,Total Total Organic Carbon,11,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Total Sulfate,28,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Dissolved Oxygen (Field),7.8,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Hardness Ca2CO3,212,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Temperature of Water,13.9,C,WCMP,5/17/2006,Actual
,,,,,,Total Total Alkalinity,173,mg CaCO3/L,WCMP,5/17/2006,Actual
,,,,,,Total Total Ammonia,0.108,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Total Nitrite,0.032,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Total Phosphorus,0.145,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Turbidity,44,NTU,WCMP,5/17/2006,Actual
,,,,,,Total Conductivity (Field),665,umhos/cm,WCMP,5/17/2006,Actual
,,,,,,Total Conductivity (Lab),700,umhos/cm,WCMP,5/17/2006,Actual
,,,,,,Total Total Dissolved Solids,460,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Total Nitrate,1.05,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Total Sodium,50.7,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total pH (Field),7.8,pH,WCMP,5/17/2006,Actual
,,,,,,Total pH (Lab),7.88,pH,WCMP,5/17/2006,Actual
,,,,,,Total Total Calcium,59.1,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Total Kjeldahl Nitrogen,1.18,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Total Magnesium,15.6,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Total Ortho Phosphate,0.048,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Total Potassium,4.1,mg/L,WCMP,5/17/2006,Actual
,,,,,,Total Total Suspended Solids,45,mg/L,WCMP,5/17/2006,Actual
,,,,,,Dissolved Dissolved Solids,460,mg/l,WCTMP,5/10/2004,Calculated
,,,,,,Total Chloride,135,mg/l,WCTMP,5/10/2004,Actual
,,,,,,Total Hardness, carbonate,151,mg/l,WCTMP,5/10/2004
,,,,,,Total Magnesium,10.6,mg/l,WCTMP,5/10/2004,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.26,mg/l,WCTMP,5/10/2004
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.061,mg/l,WCTMP,5/10/2004
,,,,,,Total Sulfate (SO4) as SO4,28,mg/l,WCTMP,5/10/2004,Actual
,,,,,,Total Total Suspended Solids (TSS),190,mg/l,WCTMP,5/10/2004,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,91,mg/l
,,,,,,Total Lead,10.8,ug/l,WCTMP,5/10/2004,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.07,mg/l,WCTMP,5/10/2004
,,,,,,Total pH,7.72,,WCTMP,5/10/2004,Actual
,,,,,,Total Phosphorus,0.35,mg/l,WCTMP,5/10/2004,Actual
,,,,,,Total Potassium,4,mg/l,WCTMP,5/10/2004,Actual
,,,,,,Total Specific conductivity,716,umho/cm,WCTMP,5/10/2004,Actual
,,,,,,Total Turbidity,130,mg/l,WCTMP,5/10/2004,Actual
,,,,,, Temperature, water,15.2,deg C,WCTMP,5/10/2004
,,,,,,Total Cadmium,0.358,ug/l,WCTMP,5/10/2004,Actual
,,,,,,Total Calcium,42.9,mg/l,WCTMP,5/10/2004,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.045,mg/l,WCTMP,5/10/2004
,,,,,,Total Zinc,64.9,ug/l,WCTMP,5/10/2004,Actual
,,,,,,Total Chromium,7.25,ug/l,WCTMP,5/10/2004,Actual
,,,,,,Total Copper,9.91,ug/l,WCTMP,5/10/2004,Actual
,,,,,,Total Mercury,23.64,ng/l,WCTMP,5/10/2004,Actual
,,,,,,Total Nickel,7.08,ug/l,WCTMP,5/10/2004,Actual
,,,,,,Total Nitrogen, Kjeldahl,2.1,mg/l,WCTMP,5/10/2004
,,,,,,Total Sodium,79.5,mg/l,WCTMP,5/10/2004,Actual
,,,,,,Total Total Organic Carbon (TOC),12,mg/l,WCTMP,5/10/2004,Actual
,,,,,,Total Chromium,14.7,ug/l,WCTMP,5/1/2003,Actual
,,,,,,Total Magnesium,8.3,mg/l,WCTMP,5/1/2003,Actual
,,,,,,Total Nickel,8.15,ug/l,WCTMP,5/1/2003,Actual
,,,,,,Total Potassium,3.9,mg/l,WCTMP,5/1/2003,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,65,mg/l
,,,,,,Total Calcium,40.7,mg/l,WCTMP,5/1/2003,Actual
,,,,,,Total Hardness, carbonate,136,mg/l,WCTMP,5/1/2003
,,,,,,Total Mercury,33.63,ng/l,WCTMP,5/1/2003,Actual
,,,,,,Total pH,7.68,,WCTMP,5/1/2003,Actual
,,,,,,Total Sodium,105,mg/l,WCTMP,5/1/2003,Actual
,,,,,,Total Specific conductivity,782,umho/cm,WCTMP,5/1/2003,Actual
,,,,,,Total Cadmium,0.414,ug/l,WCTMP,5/1/2003,Actual
,,,,,,Total Lead,21.1,ug/l,WCTMP,5/1/2003,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.49,mg/l,WCTMP,5/1/2003
,,,,,,Total Nitrogen, Kjeldahl,2.4,mg/l,WCTMP,5/1/2003
,,,,,,Total Phosphorus,0.46,mg/l,WCTMP,5/1/2003,Actual
,,,,,,Total Total Organic Carbon (TOC),10,mg/l,WCTMP,5/1/2003,Actual
,,,,,,Total Zinc,122,ug/l,WCTMP,5/1/2003,Actual
,,,,,, Temperature, water,12.3,deg C,WCTMP,5/1/2003
,,,,,,Dissolved Dissolved Solids,510,mg/l,WCTMP,5/1/2003,Calculated
,,,,,,Total Chloride,172,mg/l,WCTMP,5/1/2003,Actual
,,,,,,Total Copper,19.8,ug/l,WCTMP,5/1/2003,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.19,mg/l,WCTMP,5/1/2003
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.063,mg/l,WCTMP,5/1/2003
,,,,,,Total Phosphorus, orthophosphate as P,0.054,mg/l,WCTMP,5/1/2003
,,,,,,Total Sulfate (SO4) as SO4,25,mg/l,WCTMP,5/1/2003,Actual
,,,,,,Total Total Suspended Solids (TSS),220,mg/l,WCTMP,5/1/2003,Actual
,,,,,,Total Turbidity,130,mg/l,WCTMP,5/1/2003,Actual
,,,,,,Total Dissolved Oxygen (Field),8,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Hardness Ca2CO3,333,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.61,mg N/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Chloride                                ,180,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Conductivity (Lab),1083,umhos/cm      ,WCMP,4/9/2012,Actual
,,,,,,Total Temperature of Water,12.3,° C           ,WCMP,4/9/2012,Actual
,,,,,,Total Total Alkalinity,220,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Nitrate,1.59,mg N/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Total Ortho Phosphate,0.067,mg P/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Total Phosphorus                        ,0.1,mg P/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Total Potassium,4.3,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Turbidity,6.75,NTU           ,WCMP,4/9/2012,Actual
,,,,,,Total Conductivity (Field),1130,umhos/cm      ,WCMP,4/9/2012,Actual
,,,,,,Total pH (Field),8.2,pH            ,WCMP,4/9/2012,Actual
,,,,,,Total pH (Lab),8.18,pH            ,WCMP,4/9/2012,Actual
,,,,,,Total Total Ammonia,0.021,mg N/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Total Dissolved Solids,700,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Magnesium,28,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Organic Carbon,5.8,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Sodium,120,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Suspended Solids,10,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Calcium,87,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.72,mg N/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Total Nitrite,0.02,mg N/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Total Sulfate,44,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,124,mg/l
,,,,,,Total Magnesium,13.7,mg/l,WCTMP,4/9/2002,Actual
,,,,,,Total Mercury,15.54,ng/l,WCTMP,4/9/2002,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.68,mg/l,WCTMP,4/9/2002
,,,,,,Total Phosphorus, orthophosphate as P,0.053,mg/l,WCTMP,4/9/2002
,,,,,,Total Sulfate (SO4) as SO4,30,mg/l,WCTMP,4/9/2002,Actual
,,,,,,Total Total Organic Carbon (TOC),8.7,mg/l,WCTMP,4/9/2002,Actual
,,,,,,Dissolved Dissolved Solids,440,mg/l,WCTMP,4/9/2002,Calculated
,,,,,,Total Chloride,104,mg/l,WCTMP,4/9/2002,Actual
,,,,,,Total Chromium,5.45,ug/l,WCTMP,4/9/2002,Actual
,,,,,,Total Nickel,5.03,ug/l,WCTMP,4/9/2002,Actual
,,,,,,Total Sodium,62.9,mg/l,WCTMP,4/9/2002,Actual
,,,,,,Total Specific conductivity,670,umho/cm,WCTMP,4/9/2002,Actual
,,,,,,Total Zinc,35.3,ug/l,WCTMP,4/9/2002,Actual
,,,,,,Total Cadmium,0.186,ug/l,WCTMP,4/9/2002,Actual
,,,,,,Total Copper,7.32,ug/l,WCTMP,4/9/2002,Actual
,,,,,,Total Hardness, carbonate,183,mg/l,WCTMP,4/9/2002
,,,,,,Total Lead,8.38,ug/l,WCTMP,4/9/2002,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.25,mg/l,WCTMP,4/9/2002
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.98,mg/l,WCTMP,4/9/2002
,,,,,,Total Phosphorus,0.28,mg/l,WCTMP,4/9/2002,Actual
,,,,,,Total Potassium,3.7,mg/l,WCTMP,4/9/2002,Actual
,,,,,,Total Total Suspended Solids (TSS),130,mg/l,WCTMP,4/9/2002,Actual
,,,,,, Temperature, water,8.6,deg C,WCTMP,4/9/2002
,,,,,,Total Calcium,50.6,mg/l,WCTMP,4/9/2002,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.027,mg/l,WCTMP,4/9/2002
,,,,,,Total pH,7.7,,WCTMP,4/9/2002,Actual
,,,,,,Total Turbidity,97,mg/l,WCTMP,4/9/2002,Actual
,,,,,,Dissolved Dissolved Solids,790,mg/l,WCTMP,4/8/2003,Calculated
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,160,mg/l
,,,,,,Total Cadmium,0.059,ug/l,WCTMP,4/8/2003,Actual
,,,,,,Total Chloride,242,mg/l,WCTMP,4/8/2003,Actual
,,,,,,Total Copper,4.7,ug/l,WCTMP,4/8/2003,Actual
,,,,,,Total Lead,1.38,ug/l,WCTMP,4/8/2003,Actual
,,,,,,Total Nickel,3.07,ug/l,WCTMP,4/8/2003,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,3.9,mg/l,WCTMP,4/8/2003
,,,,,,Total pH,7.86,,WCTMP,4/8/2003,Actual
,,,,,,Total Specific conductivity,1214,umho/cm,WCTMP,4/8/2003,Actual
,,,,,,Total Total Suspended Solids (TSS),21,mg/l,WCTMP,4/8/2003,Actual
,,,,,,Total Turbidity,20,mg/l,WCTMP,4/8/2003,Actual
,,,,,,Total Zinc,9.88,ug/l,WCTMP,4/8/2003,Actual
,,,,,, Temperature, water,1.8,deg C,WCTMP,4/8/2003
,,,,,,Total Hardness, carbonate,270,mg/l,WCTMP,4/8/2003
,,,,,,Total Magnesium,20.9,mg/l,WCTMP,4/8/2003,Actual
,,,,,,Total Mercury,5.05,ng/l,WCTMP,4/8/2003,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.14,mg/l,WCTMP,4/8/2003
,,,,,,Total Nitrogen, Kjeldahl,1.03,mg/l,WCTMP,4/8/2003
,,,,,,Total Phosphorus,0.097,mg/l,WCTMP,4/8/2003,Actual
,,,,,,Total Sulfate (SO4) as SO4,49,mg/l,WCTMP,4/8/2003,Actual
,,,,,,Total Total Organic Carbon (TOC),6.7,mg/l,WCTMP,4/8/2003,Actual
,,,,,,Total Calcium,73.7,mg/l,WCTMP,4/8/2003,Actual
,,,,,,Total Chromium,1.82,ug/l,WCTMP,4/8/2003,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.048,mg/l,WCTMP,4/8/2003
,,,,,,Total Phosphorus, orthophosphate as P,0.036,mg/l,WCTMP,4/8/2003
,,,,,,Total Sodium,127,mg/l,WCTMP,4/8/2003,Actual
,,,,,,Total Potassium,4.8,mg/l,WCTMP,4/8/2003,Actual
,,,,,,Total Conductivity (Field),943,umhos/cm      ,WCMP,4/7/2010,Actual
,,,,,,Total Conductivity (Lab),937,umhos/cm      ,WCMP,4/7/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.92,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total pH (Lab),7.91,pH            ,WCMP,4/7/2010,Actual
,,,,,,Total Temperature of Water,13.5,° C           ,WCMP,4/7/2010,Actual
,,,,,,Total Total Calcium,66,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Hardness Ca2CO3,235,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Total Alkalinity,171,mg CaCO3/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Ammonia,0.24,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Organic Carbon,6.2,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Chloride                                ,180,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total pH (Field),8,pH            ,WCMP,4/7/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,1.31,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Nitrate,0.88,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Nitrite,0.04,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Sulfate,32,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),7.7,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Total Dissolved Solids,610,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Total Magnesium,16.9,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.034,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.123,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Potassium,3.6,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Total Sodium,101,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Total Suspended Solids,45,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Turbidity                               ,35,NTU           ,WCMP,4/7/2010,Actual
,,,,,,Total Calcium,73,mg/l,WCTMP,4/5/2005,Actual
,,,,,,Total Mercury in Water,2.09,ug/l,WCTMP,4/5/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),6.6,mg/l,WCTMP,4/5/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),11,mg/l,WCTMP,4/5/2005,Actual
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,198,mg/l,WCTMP,4/5/2005
,,,,,,Total Chloride,178,mg/l,WCTMP,4/5/2005,Actual
,,,,,,Total Copper,2.48,ug/l,WCTMP,4/5/2005,Actual
,,,,,,Total Lead,0.753,ug/l,WCTMP,4/5/2005,Actual
,,,,,,Total Nickel,2.97,ug/l,WCTMP,4/5/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.063,mg/l,WCTMP,4/5/2005
,,,,,,Total Phosphorus,0.055,mg/l,WCTMP,4/5/2005,Actual
