Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Pcb-95,0.22511134,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Total Organic Carbon (TOC),4.9,mg/l,WCTMP,6/11/2001,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,122,mg/l
,,,,,,Total Chromium,1.96,ug/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-101,0.184897938,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-123/149,0.255824902,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-16/32,0.270051546,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-172,0.043117137,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-174,0.164579937,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-182/187,0.148412251,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-194,0.088471004,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-199,0.010364558,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-201,0.147586097,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-22,0.089176186,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-44,0.226197938,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-52,0.473938144,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-66,0.243048454,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-74,0.085932062,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-85,0.045319072,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-89,0.020492577,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-91,0.058796907,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Phosphorus,0.07,mg/l,WCTMP,6/11/2001,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.02,mg/l,WCTMP,6/11/2001
,,,,,,Total Sulfate (SO4) as SO4,27,mg/l,WCTMP,6/11/2001,Actual
,,,,,,Total Turbidity,13,mg/l,WCTMP,6/11/2001,Actual
,,,,,,Total Calcium,49.6,mg/l,WCTMP,6/11/2001,Actual
,,,,,,Total Copper,2.64,ug/l,WCTMP,6/11/2001,Actual
,,,,,,Total Nickel,2.84,ug/l,WCTMP,6/11/2001,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.025,mg/l,WCTMP,6/11/2001
,,,,,,Total Pcb-135/144,0.103101307,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-138/163,0.459979439,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-151,0.115579571,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-178,0.053476941,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-19,0.018285258,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-198,0.003947791,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-24/27,0.02051268,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-28/31,0.45457732,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-40,0.063042268,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-87,0.090188041,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Sulfide,0.02,mg/l,WCTMP,6/11/2001,Actual
,,,,,,Total Total Suspended Solids (TSS),14,mg/l,WCTMP,6/11/2001,Actual
,,,,,,Total Zinc,9.95,ug/l,WCTMP,6/11/2001,Actual
,,,,,,Total Cadmium,0.06,ug/l,WCTMP,6/11/2001,Actual
,,,,,,Total Chlordane,0,ug/l,WCTMP,6/11/2001,Actual
,,,,,,Total DDT,0,ug/l,WCTMP,6/11/2001,Actual
,,,,,,Total Magnesium,12.2,mg/l,WCTMP,6/11/2001,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.146,mg/l,WCTMP,6/11/2001
,,,,,,Total Nitrogen, Kjeldahl,0.64,mg/l,WCTMP,6/11/2001
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.78,mg/l,WCTMP,6/11/2001
,,,,,,Total Pcb-118,0.151962634,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-128,0.034551679,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-132/153,0.498574424,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-136,0.015463918,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-137/176,0.004720002,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-15/17,0.102061856,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-158,0.047666174,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-170/190,0.202423768,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-171/202,0.045150329,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-177,0.112373726,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-180,0.306406036,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-195/208,0.038266831,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-207,0.002222249,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-26,0.038224021,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-3,0,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-37/42,0.188072165,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-4/10,0.108049485,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-41/64/71,0.216052577,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-47/48,0.147706186,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-56+60,0.136726804,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-70/76,0.172463918,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-77/110,0.265946392,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-83,0.00764334,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-84/92,0.135768041,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-97,0.051985052,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total Pcb-99,0.056720206,ng/l,WCTMP,6/11/2001,Actual
,,,,,,Total pH,7.77,,WCTMP,6/11/2001,Actual
,,,,,,Total Polychlorinated biphenyls (PCBs),8.617515172,ug/l,WCTMP,6/11/2001,Actual
,,,,,,Total Specific conductivity,654,umho/cm,WCTMP,6/11/2001,Actual
,,,,,,Total Chloride                                ,146,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total pH (Lab),7.95,pH            ,WCMP,5/5/2010,Actual
,,,,,,Total Temperature of Water,18.3,° C           ,WCMP,5/5/2010,Actual
,,,,,,Total Total Dissolved Solids,510,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Total Organic Carbon,5.8,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Conductivity (Field),707,umhos/cm      ,WCMP,5/5/2010,Actual
,,,,,,Total Conductivity (Lab),791,umhos/cm      ,WCMP,5/5/2010,Actual
,,,,,,Total Total Potassium,6.3,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Total Sulfate,24,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),6.7,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Hardness Ca2CO3,190,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Total Ammonia,0.174,mg/L,WCMP,5/5/2010,Actual
,,,,,,Total Total Nitrate,0.66,mg/L,WCMP,5/5/2010,Actual
,,,,,,Total Total Sodium,81.8,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Total Suspended Solids,24,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Turbidity                               ,19,NTU           ,WCMP,5/5/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.69,mg/L,WCMP,5/5/2010,Actual
,,,,,,Total pH (Field),7.8,pH            ,WCMP,5/5/2010,Actual
,,,,,,Total Total Alkalinity,135,mg CaCO3/L,WCMP,5/5/2010,Actual
,,,,,,Total Total Calcium,55.1,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.98,mg/L,WCMP,5/5/2010,Actual
,,,,,,Total Total Magnesium,12.8,mg/L          ,WCMP,5/5/2010,Actual
,,,,,,Total Total Nitrite,0.028,mg/L,WCMP,5/5/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.04,mg/L,WCMP,5/5/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.103,mg/L,WCMP,5/5/2010,Actual
,,,,,,Dissolved Dissolved Solids,610,mg/l,WCTMP,5/25/2005,Calculated
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,141,mg/l,WCTMP,5/25/2005
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.22,mg/l,WCTMP,5/25/2005
,,,,,,Total Nitrogen, Kjeldahl,0.9,mg/l,WCTMP,5/25/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,1.22,mg/l,WCTMP,5/25/2005
,,,,,,Total pH,7.75,,WCTMP,5/25/2005,Actual
,,,,,,Total Specific conductance,940,umho/cm,WCTMP,5/25/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,32,mg/l,WCTMP,5/25/2005
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,5/25/2005
,,,,,,Total Calcium,61.3,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Magnesium,14.7,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.043,mg/l,WCTMP,5/25/2005
,,,,,,Total Phosphorus, orthophosphate as P,0.04,mg/l,WCTMP,5/25/2005
,,,,,,Total Potassium,10.9,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Zinc,13.2,ug/l,WCTMP,5/25/2005,Actual
,,,,,, Temperature, water,16,deg C,WCTMP,5/25/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),141,mg/l,WCTMP,5/25/2005
,,,,,,Total Chloride,184,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Chromium,1.43,ug/l,WCTMP,5/25/2005,Actual
,,,,,,Total Sodium,98,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),23,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Turbidity,19,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Cadmium,0.078,ug/l,WCTMP,5/25/2005,Actual
,,,,,,Total Copper,3.18,ug/l,WCTMP,5/25/2005,Actual
,,,,,,Total Hardness, carbonate,214,mg/l,WCTMP,5/25/2005
,,,,,,Total Lead,3.24,ug/l,WCTMP,5/25/2005,Actual
,,,,,,Total Mercury in Water,5.4,ug/l,WCTMP,5/25/2005,Actual
,,,,,,Total Nickel,3.29,ug/l,WCTMP,5/25/2005,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.18,mg/l,WCTMP,5/25/2005
,,,,,,Total Phosphorus,0.092,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),4.5,mg/l,WCTMP,5/25/2005,Actual
,,,,,,Total Conductivity (Lab),795,umhos/cm      ,WCMP,5/21/2010,Actual
,,,,,,Total pH (Lab),7.9,pH            ,WCMP,5/21/2010,Actual
,,,,,,Total Temperature of Water,18.5,° C           ,WCMP,5/21/2010,Actual
,,,,,,Total Total Dissolved Solids,520,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Total Sulfate,26,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Conductivity (Field),600,umhos/cm      ,WCMP,5/21/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),6.3,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Hardness Ca2CO3,201,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total pH (Field),7.9,pH            ,WCMP,5/21/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.86,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.097,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Total Potassium,9.2,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Turbidity                               ,21,NTU           ,WCMP,5/21/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.83,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Total Alkalinity,138,mg CaCO3/L,WCMP,5/21/2010,Actual
,,,,,,Total Total Magnesium,13.8,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Total Nitrate,0.8,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Total Organic Carbon,4.5,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.046,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Chloride                                ,138,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Total Ammonia,0.184,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Total Calcium,57.5,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Total Nitrite,0.026,mg/L,WCMP,5/21/2010,Actual
,,,,,,Total Total Sodium,75.3,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Total Suspended Solids,21,mg/L          ,WCMP,5/21/2010,Actual
,,,,,,Total Conductivity (Field),726,umhos/cm      ,WCMP,4/9/2012,Actual
,,,,,,Total Dissolved Oxygen (Field),6,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Ammonia,0.153,mg N/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Total Organic Carbon,3.6,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Potassium,7.1,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Sodium,68,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Turbidity,17.3,NTU           ,WCMP,4/9/2012,Actual
,,,,,,Total Chloride                                ,120,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.912,mg N/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Total Magnesium,16,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Nitrate,0.89,mg N/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Total Phosphorus                        ,0.071,mg P/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Conductivity (Lab),743,umhos/cm      ,WCMP,4/9/2012,Actual
,,,,,,Total Hardness Ca2CO3,213,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total pH (Lab),7.97,pH            ,WCMP,4/9/2012,Actual
,,,,,,Total Total Alkalinity,140,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Nitrite,0.018,mg N/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Total Ortho Phosphate,0.037,mg P/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Total Sulfate,40,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total pH (Field),8,pH            ,WCMP,4/9/2012,Actual
,,,,,,Total Temperature of Water,14.5,° C           ,WCMP,4/9/2012,Actual
,,,,,,Total Total Calcium,59,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Dissolved Solids,480,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.7,mg N/L        ,WCMP,4/9/2012,Actual
,,,,,,Total Total Suspended Solids,9,mg/L          ,WCMP,4/9/2012,Actual
,,,,,,Total Dissolved Oxygen (Field),7.4,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Hardness Ca2CO3,261,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total pH (Lab),7.95,pH            ,WCMP,4/7/2010,Actual
,,,,,,Total Total Ammonia,0.73,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,1.52,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Suspended Solids,8,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Total Alkalinity,165,mg CaCO3/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Magnesium,17.1,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Total Nitrite,0.043,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.042,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.081,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Sulfate,46,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Turbidity                               ,7.9,NTU           ,WCMP,4/7/2010,Actual
,,,,,,Total Conductivity (Field),1188,umhos/cm      ,WCMP,4/7/2010,Actual
,,,,,,Total Conductivity (Lab),1183,umhos/cm      ,WCMP,4/7/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.36,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total Temperature of Water,15.8,° C           ,WCMP,4/7/2010,Actual
,,,,,,Total Total Dissolved Solids,770,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Total Sodium,135,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Chloride                                ,246,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total pH (Field),8,pH            ,WCMP,4/7/2010,Actual
,,,,,,Total Total Calcium,76.3,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Total Nitrate,1.32,mg/L,WCMP,4/7/2010,Actual
,,,,,,Total Total Organic Carbon,4.2,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Total Potassium,11.9,mg/L          ,WCMP,4/7/2010,Actual
,,,,,,Total Cyanide,*Non-detect,mg/l,WCTMP,4/7/2004,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.9,mg/l,WCTMP,4/7/2004
,,,,,,Total pH,7.97,,WCTMP,4/7/2004,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.021,mg/l,WCTMP,4/7/2004
,,,,,,Total Sulfate (SO4) as SO4,51,mg/l,WCTMP,4/7/2004,Actual
,,,,,,Total Zinc,16.6,ug/l,WCTMP,4/7/2004,Actual
,,,,,,Total Chloride,236,mg/l,WCTMP,4/7/2004,Actual
,,,,,,Total Chromium,1.39,ug/l,WCTMP,4/7/2004,Actual
,,,,,,Total Lead,2.22,ug/l,WCTMP,4/7/2004,Actual
,,,,,,Total Nickel,3.45,ug/l,WCTMP,4/7/2004,Actual
,,,,,,Total Phosphorus,0.071,mg/l,WCTMP,4/7/2004,Actual
,,,,,,Total Potassium,7.3,mg/l,WCTMP,4/7/2004,Actual
,,,,,, Temperature, water,10.8,deg C,WCTMP,4/7/2004
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,183,mg/l
,,,,,,Total Calcium,84.1,mg/l,WCTMP,4/7/2004,Actual
,,,,,,Total Hardness, carbonate,287,mg/l,WCTMP,4/7/2004
,,,,,,Total Magnesium,18.7,mg/l,WCTMP,4/7/2004,Actual
,,,,,,Total Mercury,3.3,ng/l,WCTMP,4/7/2004,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.2,mg/l,WCTMP,4/7/2004
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.023,mg/l,WCTMP,4/7/2004
,,,,,,Total Total Suspended Solids (TSS),18,mg/l,WCTMP,4/7/2004,Actual
,,,,,,Total Turbidity,14,mg/l,WCTMP,4/7/2004,Actual
,,,,,,Dissolved Dissolved Solids,780,mg/l,WCTMP,4/7/2004,Calculated
,,,,,,Total Cadmium,0.07,ug/l,WCTMP,4/7/2004,Actual
,,,,,,Total Copper,3.2,ug/l,WCTMP,4/7/2004,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.46,mg/l,WCTMP,4/7/2004
,,,,,,Total Sodium,112,mg/l,WCTMP,4/7/2004,Actual
,,,,,,Total Specific conductivity,1193,umho/cm,WCTMP,4/7/2004,Actual
,,,,,,Total Total Organic Carbon (TOC),4.8,mg/l,WCTMP,4/7/2004,Actual
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,4/5/2005
,,,,,,Total Calcium,32.2,mg/l,WCTMP,4/5/2005,Actual
,,,,,,Total Chloride,44,mg/l,WCTMP,4/5/2005,Actual
,,,,,,Total Nickel,1.41,ug/l,WCTMP,4/5/2005,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.25,mg/l,WCTMP,4/5/2005
,,,,,,Total Sulfur, sulfate (SO4) as SO4,18,mg/l,WCTMP,4/5/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),85,mg/l,WCTMP,4/5/2005
,,,,,,Total Chromium,0.377,ug/l,WCTMP,4/5/2005,Actual
,,,,,,Total Phosphorus,0.022,mg/l,WCTMP,4/5/2005,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.01,mg/l,WCTMP,4/5/2005
,,,,,,Total Sodium,24.7,mg/l,WCTMP,4/5/2005,Actual
,,,,,,Total Specific conductance,373,umho/cm,WCTMP,4/5/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),6,mg/l,WCTMP,4/5/2005,Actual
,,,,,,Total Zinc,7.96,ug/l,WCTMP,4/5/2005,Actual
,,,,,, Temperature, water,5.4,deg C,WCTMP,4/5/2005
,,,,,,Dissolved Dissolved Solids,240,mg/l,WCTMP,4/5/2005,Calculated
,,,,,,Total Lead,0.579,ug/l,WCTMP,4/5/2005,Actual
,,,,,,Total Mercury in Water,1.24,ug/l,WCTMP,4/5/2005,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.53,mg/l,WCTMP,4/5/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.54,mg/l,WCTMP,4/5/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.008,mg/l,WCTMP,4/5/2005
,,,,,,Total Potassium,2.1,mg/l,WCTMP,4/5/2005,Actual
,,,,,,Total Turbidity,6.5,mg/l,WCTMP,4/5/2005,Actual
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,85,mg/l,WCTMP,4/5/2005
,,,,,,Total Cadmium,0.021,ug/l,WCTMP,4/5/2005,Actual
,,,,,,Total Copper,1.3,ug/l,WCTMP,4/5/2005,Actual
,,,,,,Total Hardness, carbonate,117,mg/l,WCTMP,4/5/2005
,,,,,,Total Magnesium,8.9,mg/l,WCTMP,4/5/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.028,mg/l,WCTMP,4/5/2005
,,,,,,Total pH,8.09,,WCTMP,4/5/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),2.5,mg/l,WCTMP,4/5/2005,Actual
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,128,mg/l,WCTMP,4/27/2005
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,4/27/2005
,,,,,,Total Chloride,256,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Chloride,258,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Copper,4.94,ug/l,WCTMP,4/27/2005,Actual
,,,,,,Total Lead,4.19,ug/l,WCTMP,4/27/2005,Actual
,,,,,,Total Magnesium,13.8,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Nickel,7.43,ug/l,WCTMP,4/27/2005,Actual
,,,,,,Total Nitrogen, Kjeldahl,2,mg/l,WCTMP,4/27/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.043,mg/l,WCTMP,4/27/2005
,,,,,,Total Phosphorus, orthophosphate as P,0.039,mg/l,WCTMP,4/27/2005
,,,,,,Total Sodium,164,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,48,mg/l,WCTMP,4/27/2005
,,,,,,Total Total Organic Carbon (TOC),5.6,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Zinc,24.6,ug/l,WCTMP,4/27/2005,Actual
,,,,,, Temperature, water,11.6,deg C,WCTMP,4/27/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),128,mg/l,WCTMP,4/27/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),138,mg/l,WCTMP,4/27/2005
,,,,,,Total Calcium,61.7,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.78,mg/l,WCTMP,4/27/2005
,,,,,,Total Nitrogen, Kjeldahl,1.95,mg/l,WCTMP,4/27/2005
,,,,,,Total Phosphorus,0.153,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Specific conductance,1191,umho/cm,WCTMP,4/27/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),35,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,138,mg/l,WCTMP,4/27/2005
,,,,,,Total Cadmium,0.118,ug/l,WCTMP,4/27/2005,Actual
,,,,,,Total Calcium,68.6,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Chromium,3.652,ug/l,WCTMP,4/27/2005,Actual
,,,,,,Total Hardness, carbonate,211,mg/l,WCTMP,4/27/2005
,,,,,,Total Mercury in Water,7.73,ug/l,WCTMP,4/27/2005,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.85,mg/l,WCTMP,4/27/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.039,mg/l,WCTMP,4/27/2005
,,,,,,Total Total Suspended Solids (TSS),30,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Turbidity,23,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Dissolved Dissolved Solids,770,mg/l,WCTMP,4/27/2005,Calculated
,,,,,,Total Hardness, carbonate,229,mg/l,WCTMP,4/27/2005
,,,,,,Total Magnesium,13.9,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.82,mg/l,WCTMP,4/27/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.89,mg/l,WCTMP,4/27/2005
,,,,,,Total pH,7.63,,WCTMP,4/27/2005,Actual
,,,,,,Total Phosphorus,0.152,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.034,mg/l,WCTMP,4/27/2005
,,,,,,Total Potassium,6.1,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Sodium,162,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,39,mg/l,WCTMP,4/27/2005
,,,,,,Total Turbidity,17,mg/l,WCTMP,4/27/2005,Actual
,,,,,,Total pH (Lab),7.71,pH,WCMP,4/26/2006,Actual
,,,,,,Total Temperature of Water,15.1,C,WCMP,4/26/2006,Actual
,,,,,,Total Total Kjeldahl Nitrogen,1.04,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Total Nitrite,0.038,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Total Ortho Phosphate,0.021,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Turbidity,27,NTU,WCMP,4/26/2006,Actual
,,,,,,Total Dissolved Oxygen (Field),6.8,mg/L,WCMP,4/26/2006,Actual
